datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-29 04:24:24.884779,0,57496293376,3404554240,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:26.888740,0,57500389376,3401244672,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:28.892069,0,57509896192,3390922752,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:30.896013,0,58378035200,2522783744,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:32.899860,0,57782235136,3118583808,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:34.903193,0,57519820800,3380994048,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:36.905920,0,57518817280,3381985280,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:38.910060,0,57517658112,3383140352,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:40.913031,0,57521209344,3377491968,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:42.916042,0,57521917952,3376766976,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:44.918946,0,57519681536,3374809088,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:46.921703,0,57524064256,3368288256,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:48.924455,0,57525248000,3367096320,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:50.930248,0,57527681024,3364175872,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:52.933116,0,57525006336,3366088704,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:54.936108,0,57523798016,3368841216,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15376.4375,33763.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:56.938996,0,57524305920,3367145472,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:24:58.941905,0,57528057856,3363717120,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:00.944851,0,57815347200,3076956160,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,12206.4375,36933.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:02.947864,0,57531125760,3361157120,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,15926.4375,33213.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:04.950733,0,57533980672,3358302208,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,15926.4375,33213.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:06.953654,0,57533030400,3359252480,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,15926.4375,33213.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:08.956327,0,57535717376,3355623424,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,15926.4375,33213.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:10.959198,0,57544146944,3499126784,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,15926.4375,33213.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:12.961877,0,57546158080,3496624128,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,15926.4375,33213.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:14.964685,0,57548455936,3494563840,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,15926.4375,33213.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:16.967483,0,57550974976,3491864576,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15522.4375,33617.5625,15926.4375,33213.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:18.970360,0,57550512128,3489505280,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15532.4375,33607.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:20.973678,0,57551732736,3486789632,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15532.4375,33607.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:22.976764,0,57548980224,3489955840,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15532.4375,33607.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:24.979644,0,57550794752,3488620544,21963.4375,27176.5625,13714.4375,35425.5625,11290.4375,37849.5625,12614.4375,36525.5625,15532.4375,33607.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
