datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-27 05:01:51.849929,0,68624769024,4314320896,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,17366.4375,31773.5625,16272.4375,32867.5625,18614.4375,30525.5625
2022-07-27 05:01:53.855438,0,68624723968,4314910720,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,17366.4375,31773.5625,16272.4375,32867.5625,18614.4375,30525.5625
2022-07-27 05:01:55.858512,0,69715894272,3219533824,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,17366.4375,31773.5625,16272.4375,32867.5625,18614.4375,30525.5625
2022-07-27 05:01:57.862330,0,68627197952,4305403904,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,17366.4375,31773.5625,16272.4375,32867.5625,18614.4375,30525.5625
2022-07-27 05:01:59.870108,0,68630999040,4302454784,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,17366.4375,31773.5625,16272.4375,32867.5625,18614.4375,30525.5625
2022-07-27 05:02:01.873611,0,68633645056,4299804672,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,17366.4375,31773.5625,16272.4375,32867.5625,18614.4375,30525.5625
2022-07-27 05:02:03.876939,0,68633047040,4299915264,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,18374.4375,30765.5625,16272.4375,32867.5625,18614.4375,30525.5625
2022-07-27 05:02:05.879972,0,69213949952,3719405568,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,18374.4375,30765.5625,16272.4375,32867.5625,18614.4375,30525.5625
2022-07-27 05:02:07.883074,0,68630396928,4302946304,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,18374.4375,30765.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:09.886973,0,68627013632,4306337792,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,18374.4375,30765.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:11.889986,0,68631408640,4301934592,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15920.4375,33219.5625,18668.4375,30471.5625,18374.4375,30765.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:13.893108,0,68629819392,4302376960,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15922.4375,33217.5625,18668.4375,30471.5625,18374.4375,30765.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:15.897271,0,68628922368,4304408576,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15922.4375,33217.5625,18668.4375,30471.5625,18374.4375,30765.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:17.918368,0,68633042944,4300279808,25283.4375,23856.5625,17706.4375,31433.5625,16558.4375,32581.5625,15922.4375,33217.5625,18668.4375,30471.5625,18374.4375,30765.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:19.922932,0,68633346048,4300562432,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18374.4375,30765.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:21.926425,0,68758331392,4174983168,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:23.930050,0,68634144768,4298104832,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:25.935553,0,68633554944,4299776000,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:27.957040,0,68637167616,4294066176,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:29.962254,0,68638613504,4292894720,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:31.965919,0,68638765056,4292472832,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:33.969037,0,68636983296,4293402624,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
2022-07-27 05:02:35.977491,0,68638732288,4292493312,25283.4375,23856.5625,17706.4375,31433.5625,16560.4375,32579.5625,15922.4375,33217.5625,18668.4375,30471.5625,18376.4375,30763.5625,17314.4375,31825.5625,18614.4375,30525.5625
