datetime,epoch,rank,gpu_memory_allocated,gpu_memory_reserved
2022-07-28 08:58:11.966038,0,5,1000865792,8705277952
2022-07-28 08:58:11.966046,0,7,1000865792,8183087104
2022-07-28 08:58:11.966044,0,0,1000865792,6973030400
2022-07-28 08:58:11.966077,0,6,1000865792,7497318400
2022-07-28 08:58:11.966067,0,3,1000865792,8575254528
2022-07-28 08:58:11.966111,0,2,1000865792,7002390528
2022-07-28 08:58:11.966138,0,1,1000865792,8671723520
2022-07-28 08:58:11.966552,0,4,1000865792,9351200768
2022-07-28 08:58:13.018219,0,5,1000865792,13048479744
2022-07-28 08:58:13.018218,0,4,1000865792,9351200768
2022-07-28 08:58:13.018228,0,1,1000865792,8671723520
2022-07-28 08:58:13.018232,0,2,1000865792,7002390528
2022-07-28 08:58:13.018230,0,3,1000865792,8986296320
2022-07-28 08:58:13.018237,0,7,1000865792,13249806336
2022-07-28 08:58:13.018239,0,6,1000865792,11207180288
2022-07-28 08:58:13.018677,0,0,1000865792,10714349568
2022-07-28 08:58:13.879827,0,5,1000865792,13048479744
2022-07-28 08:58:13.879825,0,0,1000865792,10714349568
2022-07-28 08:58:13.879827,0,1,1000865792,8671723520
2022-07-28 08:58:13.879833,0,3,1000865792,8986296320
2022-07-28 08:58:13.879841,0,6,1000865792,11207180288
2022-07-28 08:58:13.879834,0,4,1000865792,9351200768
2022-07-28 08:58:13.879858,0,7,1000865792,13249806336
2022-07-28 08:58:13.880338,0,2,1000865792,11158945792
2022-07-28 08:58:14.733441,0,5,1000865792,13048479744
2022-07-28 08:58:14.733454,0,6,1000865792,11207180288
2022-07-28 08:58:14.733460,0,7,1000865792,13249806336
2022-07-28 08:58:14.733451,0,3,1000865792,8986296320
2022-07-28 08:58:14.733467,0,4,1000865792,9351200768
2022-07-28 08:58:14.733464,0,1,1000865792,8671723520
2022-07-28 08:58:14.733910,0,0,1000865792,10714349568
2022-07-28 08:58:14.733454,0,2,1000865792,11158945792
2022-07-28 08:58:15.668855,0,5,1000865792,13048479744
2022-07-28 08:58:15.668868,0,7,1000865792,13249806336
2022-07-28 08:58:15.668872,0,1,1000865792,8671723520
2022-07-28 08:58:15.668875,0,3,1000865792,13044285440
2022-07-28 08:58:15.668876,0,2,1000865792,15038676992
2022-07-28 08:58:15.668907,0,4,1000865792,9351200768
2022-07-28 08:58:15.668985,0,6,1000865792,15145631744
2022-07-28 08:58:15.669320,0,0,1000865792,10714349568
2022-07-28 08:58:16.555650,0,5,1000865792,13048479744
2022-07-28 08:58:16.555675,0,6,1000865792,15145631744
2022-07-28 08:58:16.555683,0,7,1000865792,13249806336
2022-07-28 08:58:16.555685,0,3,1000865792,13044285440
2022-07-28 08:58:16.555696,0,2,1000865792,15038676992
2022-07-28 08:58:16.555715,0,1,1000865792,8671723520
2022-07-28 08:58:16.555739,0,0,1000865792,10714349568
2022-07-28 08:58:16.556241,0,4,1000865792,9351200768
2022-07-28 08:58:17.467814,0,3,1000865792,13044285440
2022-07-28 08:58:17.467820,0,5,1000865792,13048479744
2022-07-28 08:58:17.467828,0,7,1000865792,13249806336
2022-07-28 08:58:17.467817,0,1,1000865792,8671723520
2022-07-28 08:58:17.467826,0,2,1000865792,15212740608
2022-07-28 08:58:17.467835,0,6,1000865792,19604176896
2022-07-28 08:58:17.467853,0,4,1000865792,9351200768
2022-07-28 08:58:17.468288,0,0,1000865792,14355005440
2022-07-28 08:58:18.404253,0,5,1000865792,17100177408
2022-07-28 08:58:18.404264,0,1,1000865792,8678014976
2022-07-28 08:58:18.404270,0,3,1000865792,13044285440
2022-07-28 08:58:18.404280,0,6,1000865792,19604176896
2022-07-28 08:58:18.404272,0,0,1000865792,14361296896
2022-07-28 08:58:18.404278,0,7,1000865792,13251903488
2022-07-28 08:58:18.404283,0,4,1000865792,14262730752
2022-07-28 08:58:18.404744,0,2,1000865792,18733858816
2022-07-28 08:58:19.285964,0,5,1000865792,17100177408
2022-07-28 08:58:19.285962,0,3,1000865792,13044285440
2022-07-28 08:58:19.285986,0,2,1000865792,18733858816
2022-07-28 08:58:19.285981,0,7,1000865792,13251903488
2022-07-28 08:58:19.285992,0,6,1000865792,19604176896
2022-07-28 08:58:19.286022,0,1,1000865792,13371441152
2022-07-28 08:58:19.286435,0,0,1000865792,17788043264
2022-07-28 08:58:19.288486,0,4,1000865792,14262730752
2022-07-28 08:58:20.136577,0,5,1000865792,17100177408
2022-07-28 08:58:20.136582,0,0,1000865792,17788043264
2022-07-28 08:58:20.136592,0,6,1000865792,19604176896
2022-07-28 08:58:20.136592,0,7,1000865792,13251903488
2022-07-28 08:58:20.136587,0,3,1000865792,13044285440
2022-07-28 08:58:20.136606,0,1,1000865792,13371441152
2022-07-28 08:58:20.136603,0,4,1000865792,14262730752
2022-07-28 08:58:20.137069,0,2,1000865792,18733858816
2022-07-28 08:58:21.026261,0,5,1000865792,17100177408
2022-07-28 08:58:21.026268,0,0,1000865792,17788043264
2022-07-28 08:58:21.026275,0,6,1000865792,19604176896
2022-07-28 08:58:21.026264,0,7,1000865792,13457424384
2022-07-28 08:58:21.026283,0,1,1000865792,13371441152
2022-07-28 08:58:21.026289,0,2,1000865792,18733858816
2022-07-28 08:58:21.026495,0,3,1000865792,13044285440
2022-07-28 08:58:21.026884,0,4,1000865792,14262730752
2022-07-28 08:58:21.937987,0,5,1000865792,17297309696
2022-07-28 08:58:21.938000,0,0,1000865792,17788043264
2022-07-28 08:58:21.937994,0,7,1000865792,13457424384
2022-07-28 08:58:21.938020,0,6,1000865792,24654118912
2022-07-28 08:58:21.938008,0,3,1000865792,13044285440
2022-07-28 08:58:21.938029,0,2,1000865792,18733858816
2022-07-28 08:58:21.938018,0,4,1000865792,14262730752
2022-07-28 08:58:21.938465,0,1,1000865792,13371441152
2022-07-28 08:58:22.793667,0,3,1000865792,13044285440
2022-07-28 08:58:22.793681,0,5,1000865792,17297309696
2022-07-28 08:58:22.793696,0,6,1000865792,24654118912
2022-07-28 08:58:22.793687,0,7,1000865792,13457424384
2022-07-28 08:58:22.793695,0,1,1000865792,13371441152
2022-07-28 08:58:22.793685,0,2,1000865792,18733858816
2022-07-28 08:58:22.793742,0,4,1000865792,14262730752
2022-07-28 08:58:22.794166,0,0,1000865792,17788043264
2022-07-28 08:58:23.678111,0,5,1000865792,17297309696
2022-07-28 08:58:23.678114,0,1,1000865792,13371441152
2022-07-28 08:58:23.678126,0,7,1000865792,13457424384
2022-07-28 08:58:23.678128,0,2,1000865792,18733858816
2022-07-28 08:58:23.678124,0,3,1000865792,13044285440
2022-07-28 08:58:23.678143,0,6,1000865792,24654118912
2022-07-28 08:58:23.678152,0,4,1000865792,14262730752
2022-07-28 08:58:23.678594,0,0,1000865792,17788043264
2022-07-28 08:58:24.573421,0,5,1000865792,17297309696
2022-07-28 08:58:24.573420,0,3,1000865792,16850616320
2022-07-28 08:58:24.573435,0,6,1000865792,24654118912
2022-07-28 08:58:24.573431,0,7,1000865792,13457424384
2022-07-28 08:58:24.573452,0,4,1000865792,14262730752
2022-07-28 08:58:24.573477,0,2,1000865792,18733858816
2022-07-28 08:58:24.573490,0,1,1000865792,13795065856
2022-07-28 08:58:24.573909,0,0,1000865792,17788043264
2022-07-28 08:58:25.426805,0,5,1000865792,17297309696
2022-07-28 08:58:25.426796,0,7,1000865792,13457424384
2022-07-28 08:58:25.426819,0,6,1000865792,24654118912
2022-07-28 08:58:25.426828,0,0,1000865792,17788043264
2022-07-28 08:58:25.426826,0,3,1000865792,16850616320
2022-07-28 08:58:25.426841,0,1,1000865792,13795065856
2022-07-28 08:58:25.426848,0,2,1000865792,18733858816
2022-07-28 08:58:25.427415,0,4,1000865792,14262730752
2022-07-28 08:58:26.286372,0,1,1000865792,13795065856
2022-07-28 08:58:26.286385,0,5,1000865792,17297309696
2022-07-28 08:58:26.286394,0,3,1000865792,16850616320
2022-07-28 08:58:26.286396,0,7,1000865792,13457424384
2022-07-28 08:58:26.286401,0,6,1000865792,24654118912
2022-07-28 08:58:26.286408,0,0,1000865792,17788043264
2022-07-28 08:58:26.286435,0,4,1000865792,14262730752
2022-07-28 08:58:26.286868,0,2,1000865792,18733858816
2022-07-28 08:58:27.130642,0,5,1000865792,17297309696
2022-07-28 08:58:27.130641,0,0,1000865792,17788043264
2022-07-28 08:58:27.130649,0,7,1000865792,13457424384
2022-07-28 08:58:27.130664,0,6,1000865792,24654118912
2022-07-28 08:58:27.130659,0,1,1000865792,13795065856
2022-07-28 08:58:27.130656,0,3,1000865792,16850616320
2022-07-28 08:58:27.130668,0,4,1000865792,14262730752
2022-07-28 08:58:27.131138,0,2,1000865792,18733858816
2022-07-28 08:58:28.037115,0,5,1000865792,17297309696
2022-07-28 08:58:28.037132,0,6,1000865792,24654118912
2022-07-28 08:58:28.037132,0,0,1000865792,17788043264
2022-07-28 08:58:28.037128,0,7,1000865792,13457424384
2022-07-28 08:58:28.037129,0,2,1000865792,18733858816
2022-07-28 08:58:28.037131,0,4,1000865792,14648606720
2022-07-28 08:58:28.037143,0,3,1000865792,16850616320
2022-07-28 08:58:28.037678,0,1,1000865792,13795065856
2022-07-28 08:58:28.908592,0,5,1000865792,17297309696
2022-07-28 08:58:28.908585,0,7,1000865792,13457424384
2022-07-28 08:58:28.908585,0,1,1000865792,13795065856
2022-07-28 08:58:28.908593,0,2,1000865792,18733858816
2022-07-28 08:58:28.908604,0,6,1000865792,24654118912
2022-07-28 08:58:28.908603,0,3,1000865792,16850616320
2022-07-28 08:58:28.908616,0,4,1000865792,14648606720
2022-07-28 08:58:28.909052,0,0,1000865792,17788043264
2022-07-28 08:58:29.764848,0,5,1000865792,17297309696
2022-07-28 08:58:29.764860,0,0,1000865792,17788043264
2022-07-28 08:58:29.764871,0,7,1000865792,13457424384
2022-07-28 08:58:29.764870,0,6,1000865792,24654118912
2022-07-28 08:58:29.764866,0,1,1000865792,13795065856
2022-07-28 08:58:29.764884,0,4,1000865792,14648606720
2022-07-28 08:58:29.764884,0,3,1000865792,16850616320
2022-07-28 08:58:29.765327,0,2,1000865792,18733858816
2022-07-28 08:58:30.646374,0,5,1000865792,17297309696
2022-07-28 08:58:30.646381,0,7,1000865792,13457424384
2022-07-28 08:58:30.646394,0,0,1000865792,17788043264
2022-07-28 08:58:30.646404,0,6,1000865792,24654118912
2022-07-28 08:58:30.646397,0,3,1000865792,16850616320
2022-07-28 08:58:30.646406,0,4,1000865792,14648606720
2022-07-28 08:58:30.646437,0,1,1000865792,13795065856
2022-07-28 08:58:30.646882,0,2,1000865792,18733858816
2022-07-28 08:58:31.608949,0,5,1000865792,21105737728
2022-07-28 08:58:31.608955,0,6,1000865792,24654118912
2022-07-28 08:58:31.608959,0,0,1000865792,17790140416
2022-07-28 08:58:31.608991,0,7,1000865792,18045992960
2022-07-28 08:58:31.608994,0,3,1000865792,16850616320
2022-07-28 08:58:31.608996,0,2,1000865792,22290628608
2022-07-28 08:58:31.608988,0,1,1000865792,13795065856
2022-07-28 08:58:31.609602,0,4,1000865792,19306381312
